FIPS,POP_ESTIMATE_2018,R_NET_MIG_2018
21127,15571,-7.5
21129,7033,68.3
21131,10143,-10.8
21133,21899,-18
21135,13257,-6.5
21137,24644,2.9
21139,9242,1.3
21141,26989,-2
21143,8009,-4.3
21145,65346,0
21147,17408,-2.9
21149,9252,5.3
21151,92368,9.7
21153,12362,-12.6
21155,19404,2.6
21157,31191,0.1
21159,11323,-11.3
21161,17150,-5.4
21163,28715,21.2
21165,6451,0.2
21167,21774,9.4
21169,10030,-2.7
21171,10718,12.9
21173,28203,5.6
21175,13345,12.3
21177,30774,-2.5
21179,45851,2.3
21181,7166,6.2
21183,24087,-3.2
21185,66470,-2.7
21187,10880,8.4
21189,4472,14
21191,14529,-2
21193,26092,-11.4
21195,58402,-3.6
21197,12442,9
21199,64623,5.6
21201,2135,5.2
21203,16750,4.4
21205,24583,-1.3
21207,17821,5.8
21209,56031,17.3
21211,48518,16.2
21213,18529,19.6
21215,18794,16.9
21217,25549,-1.1
21219,12311,6.8
21221,14643,17.1
21223,8515,-6.1
21225,14505,-7.9
21227,131264,12.3
21229,12084,12.5
21231,20468,-8.2
21233,13111,1.2
21235,36242,0.1
21237,7177,-6.1
21239,26533,3.2
22000,4659978,-5.3
22001,62190,-7.6
22003,25605,-3.2
22005,124672,6.8
22007,22300,-13.3
22009,40462,-11.9
22011,37253,9.7
22013,13308,-20.1
22015,127185,-3.7
22017,242922,-14.2
22019,203112,-0.7
22021,9960,2.2
22023,6968,6
22025,9608,-22.7
22027,15944,-1.6
22029,19572,-14.1
22031,27436,5.7
22033,440956,-10.4
22035,7037,-18.6
22037,19305,-2.7
22039,33443,-8.1
22041,20156,-5.7
22043,22482,5.2
22045,70941,-17.8
22047,32721,-7.5
22049,15902,3.7
22051,434051,-8.2
22053,31582,2.3
22055,242782,0.1
22057,98115,-4
22059,14917,-0.3
22061,47196,-9.4
22063,139567,6.4
22065,11161,-15.6
22067,25398,-11.2
22069,38659,-13.2
22071,391006,-3.7
22073,154475,-11
22075,23410,-2
22077,21940,-12.7
22079,130562,-7.9
22081,8477,-0.2
22083,20192,-10.6
22085,24032,-1.3
22087,46721,8.7
22089,52879,-0.1
22091,10262,-12.2
22093,21037,-13.6
22095,43184,-6.4
22097,82764,-10.6
22099,53621,-12.5
22101,49774,-19.8
22103,258111,6.3
22105,133777,6.6
22107,4462,-24.3
22109,111021,-9.2
22111,22330,-5.5
22113,59830,-3.6
22115,48860,-45
22117,46582,-0.2
22119,38798,-10.3
22121,26427,2.2
22123,10982,3.6
22125,15460,6.3
22127,14134,-11.8
23000,1338404,3.8
23001,107679,-0.3
23003,67111,-3.5
23005,293557,3.7
23007,29897,5.2
23009,54811,7
23011,122083,3.2
23013,39771,0.1
23015,34342,8.9
23017,57618,6.4
23019,151096,0.3
23021,16800,4
23023,35634,8.1
23025,50592,5.4
23027,39694,0.1
23029,31490,2.7
23031,206229,9
24000,6042718,-0.3
24001,70975,-2
24003,576031,3.8
24005,828431,-1.5
24009,92003,5.4
24011,33304,4.6
24013,168429,4.3
24015,102826,1.6
24017,161503,8.7
24019,31998,-3.1
24021,255648,14.6
24023,29163,-0.8
24025,253956,6.4
24027,323196,6.7
24029,19383,5
24031,1052567,-1.9
24033,909308,-5
24035,50251,9.8
24037,112664,-2.3
24039,25675,-8.2
24041,36968,2.7
24043,150926,3.5
24045,103195,6.2
24047,51823,10.3
24510,602495,-13.8
25000,6902149,4
25001,213413,6.1
25003,126348,2.9
25005,564022,5.9
25007,17352,-0.1
25009,790638,5
25011,70963,4.4
25013,470406,3.8
25015,161355,2.5
25017,1614714,3
25019,11327,-4.5
25021,705388,4.1
25023,518132,5.3
25025,807252,2.2
25027,830839,4.4
26000,9995915,0.5
26001,10362,15
26003,9097,1.2
26005,117327,3.9
26007,28360,1
26009,23365,7.1
26011,15041,6
26013,8320,-8.1
26015,61157,7.8
26017,103923,-1.2
26019,17753,11.4
26021,154141,-1.1
26023,43622,2.9
26025,134487,-0.7
26027,51653,5.7
26029,26244,3.5
26031,25413,7.5
26033,37517,-3.8
26035,30757,8.1
26037,79332,6.8
26039,13901,2.7
26041,35857,2.1
26043,25383,-0.6
26045,109826,2
26047,33308,6.2
26049,406892,-2.1
26051,25337,8.6
26053,15096,-9.7
26055,92573,7.7
26057,40599,-8.5
26059,45749,-3.6
26061,36219,-5
26063,31166,1.4
26065,292735,-2.6
26067,64210,-2.7
26069,25081,5.7
26071,11117,8.1
26073,70562,-10.1
26075,158823,0.2
26077,264870,3.6
26079,17824,14
26081,653786,1
26083,2113,5.7
26085,11881,-3.5
26087,88028,-0.6
26089,21764,6.4
26091,98266,-2.5
26093,191224,5.9
26095,6283,-5.2
26097,10787,7.1
26099,874759,2.4
26101,24528,7.2
26103,66516,-0.2
26105,29100,4
26107,43545,3.8
26109,22983,1.7
26111,83209,-1.2
26113,15113,4.2
26115,150439,5.4
26117,63968,5.2
26119,9265,14.9
26121,173588,-2.1
26123,48892,11.2
26125,1259201,0.4
26127,26625,5
26129,20952,4.8
26131,5795,0.2
26133,23341,4.4
26135,8276,4.2
26137,24665,5.4
26139,290494,7.3
26141,12738,3.5
26143,23884,13.7
26145,190800,-6.2
26147,159337,2.2
26149,61043,0.9
26151,41182,0.9
26153,8068,7.8
26155,68192,-3.6
26157,52516,-2.5
26159,75448,1.2
26161,370963,1.4
26163,1753893,-3.6
26165,33466,5.3
27000,5611179,3.1
27001,15902,11.7
27003,353813,3.5
27005,34371,7.5
27007,46847,2.9
27009,40545,4.5
27011,4989,-2
27013,67427,4.3
